experiment,precision,recall,f1_score,running_time
1,0.5666666666666667,0.7666666666666667,0.6122222222222222,11.20419530797517
2,0.5111111111111112,0.5638888888888888,0.5107142857142857,11.150844158022664
3,0.58,0.7044444444444444,0.6087301587301589,11.166936449008062
4,0.513888888888889,0.55,0.5122222222222221,11.179529760032892
5,0.6472222222222221,0.6583333333333333,0.6172222222222221,11.132460552966222
6,0.4888888888888889,0.6777777777777778,0.5455555555555553,11.217802962986752
7,0.5694444444444445,0.638888888888889,0.5726190476190477,11.204847695014905
8,0.5416666666666665,0.5944444444444444,0.5442857142857142,11.245241943979636
9,0.5399999999999999,0.5694444444444444,0.5234920634920636,11.26817465905333
10,0.5555555555555556,0.5916666666666668,0.5419047619047619,11.077229777991306
11,0.5166666666666667,0.5166666666666666,0.5044444444444445,11.244390627951361
12,0.5805555555555556,0.6,0.5622222222222223,11.154834875022061
13,0.5361111111111111,0.6222222222222222,0.56,11.07735372503521
14,0.5444444444444444,0.6861111111111111,0.5896825396825397,11.052383188973181
15,0.45111111111111113,0.5222222222222221,0.46571428571428564,11.114852209982928
16,0.5716666666666667,0.5583333333333332,0.5364285714285714,11.076833459024783
17,0.65,0.6861111111111112,0.6398412698412699,11.188978955033235
18,0.5638888888888888,0.6444444444444444,0.5796031746031748,11.062383876007516
19,0.5499999999999999,0.6638888888888889,0.5672222222222222,11.272152484976687
20,0.5627777777777777,0.5988888888888889,0.555079365079365,11.070332987001166
21,0.5850000000000001,0.6250000000000001,0.5711111111111111,11.130876974959392
22,0.6416666666666668,0.6055555555555555,0.5981746031746032,11.112244196003303
23,0.6805555555555555,0.7083333333333334,0.6549999999999999,11.170286647044122
24,0.5177777777777778,0.5916666666666667,0.5238888888888888,11.120475496980362
25,0.47222222222222227,0.6583333333333333,0.5341269841269841,11.21978238702286
26,0.5672222222222222,0.735,0.5997883597883598,11.098427398013882
27,0.45,0.48333333333333334,0.44888888888888895,11.092274599999655
28,0.5277777777777777,0.6944444444444444,0.5722222222222222,11.001599445007741
29,0.65,0.663888888888889,0.6307936507936508,11.139170827984344
30,0.6555555555555554,0.5694444444444444,0.5872222222222223,11.164819978002924
