stream_id,window,outlier_indices,outlying_attributes,ground_truth,TP,FP,FN,TN,precision,recall,f1_score
1,window_0,462,"['V7', 'V2', 'V3', 'V6', 'V8']","['V6', 'V7', 'V3', 'V2']",4,1,0,5,0.8,1.0,0.888888888888889
1,window_0,463,"['V10', 'V5', 'V2', 'V7']","['V10', 'V2', 'V5']",3,1,0,6,0.75,1.0,0.8571428571428571
1,window_0,476,"['V7', 'V1', 'V8', 'V9', 'V3', 'V5']","['V3', 'V7', 'V1', 'V8', 'V5', 'V9']",6,0,0,4,1.0,1.0,1.0
1,window_0,520,"['V4', 'V5', 'V3', 'V2', 'V6', 'V7']","['V10', 'V6', 'V5', 'V2', 'V7', 'V1', 'V3', 'V4']",6,0,2,2,1.0,0.75,0.8571428571428571
1,window_0,573,"['V9', 'V3', 'V7', 'V10']","['V10', 'V9', 'V3', 'V8']",3,1,1,5,0.75,0.75,0.75
1,window_0,799,"['V5', 'V8', 'V7', 'V4']","['V8', 'V5']",2,2,0,6,0.5,1.0,0.6666666666666666
1,window_0,875,"['V7', 'V10', 'V8']",['V7'],1,2,0,7,0.3333333333333333,1.0,0.5
1,window_0,877,"['V4', 'V2', 'V5', 'V10', 'V1', 'V7']","['V5', 'V2', 'V7', 'V4']",4,2,0,4,0.6666666666666666,1.0,0.8
1,window_0,886,"['V2', 'V7']",['V2'],1,1,0,8,0.5,1.0,0.6666666666666666
1,window_0,946,"['V6', 'V1', 'V9', 'V4']","['V6', 'V9', 'V1', 'V7', 'V4']",4,0,1,5,1.0,0.8,0.888888888888889
2,window_0,11,"['V15', 'V19', 'V13', 'V21', 'V22']","['V22', 'V15', 'V13', 'V24', 'V21', 'V11', 'V16', 'V19']",5,0,3,8,1.0,0.625,0.7692307692307693
2,window_0,146,"['V17', 'V15', 'V21', 'V12', 'V11']","['V15', 'V17', 'V21', 'V11', 'V12', 'V19']",5,0,1,10,1.0,0.8333333333333334,0.9090909090909091
2,window_0,275,"['V14', 'V20', 'V13', 'V11', 'V12', 'V18', 'V19', 'V21']","['V12', 'V26', 'V25', 'V16', 'V13', 'V21', 'V15', 'V20', 'V14', 'V19', 'V11', 'V17', 'V24', 'V18']",8,0,6,2,1.0,0.5714285714285714,0.7272727272727273
2,window_0,358,"['V17', 'V11', 'V13', 'V15', 'V18', 'V16']","['V13', 'V18', 'V23', 'V15', 'V11', 'V22', 'V26', 'V25', 'V16', 'V20', 'V21', 'V17', 'V14']",6,0,7,3,1.0,0.46153846153846156,0.631578947368421
2,window_0,383,"['V15', 'V23', 'V12', 'V14', 'V16', 'V17']","['V12', 'V17', 'V18', 'V20', 'V11', 'V14', 'V24', 'V23', 'V15', 'V16']",6,0,4,6,1.0,0.6,0.7499999999999999
2,window_0,390,"['V14', 'V13', 'V17']","['V22', 'V17', 'V13', 'V14']",3,0,1,12,1.0,0.75,0.8571428571428571
2,window_0,485,"['V12', 'V13', 'V15', 'V14', 'V21', 'V16']","['V13', 'V15', 'V12']",3,3,0,10,0.5,1.0,0.6666666666666666
2,window_0,541,"['V22', 'V12', 'V18']","['V20', 'V12', 'V22', 'V17']",2,1,2,11,0.6666666666666666,0.5,0.5714285714285715
2,window_0,673,"['V15', 'V18', 'V11', 'V20']","['V15', 'V16', 'V20', 'V18']",3,1,1,11,0.75,0.75,0.75
2,window_0,682,"['V11', 'V19', 'V25', 'V21', 'V16']","['V19', 'V22', 'V16', 'V23', 'V25', 'V21', 'V26', 'V11', 'V18', 'V17']",5,0,5,6,1.0,0.5,0.6666666666666666
