experiment,precision,recall,f1_score,running_time
1,0.9121222222222223,0.6742460317460267,0.7581075628075603,43.4895687350072
2,0.8627222222222231,0.6107571428571392,0.700290006290001,43.713411058997735
3,0.9391555555555563,0.6709714285714226,0.7651223110223045,43.960306069930084
4,0.9018079365079358,0.6712333333333285,0.7478692159692119,43.53198865102604
5,0.9620333333333336,0.6927849206349135,0.7926332001331936,44.23652162193321
6,0.9174111111111112,0.6836158730158672,0.7611472749472672,44.03168223297689
7,0.9190888888888898,0.6649190476190412,0.7514966033965985,43.98472590104211
8,0.8883142857142845,0.6616825396825332,0.741225052725048,43.620657757041045
9,0.929412698412699,0.6860269841269779,0.7742513671513656,44.16682615200989
10,0.9030111111111115,0.6582761904761842,0.746739331039325,44.42039132898208
11,0.9228777777777779,0.6954317460317393,0.7817240352240309,43.90643880900461
12,0.9018285714285722,0.664869841269835,0.7456532726532701,43.77419646689668
13,0.9215626984126977,0.6780095238095177,0.7612375994375951,44.2024248969974
14,0.8789476190476208,0.6375158730158678,0.7253343841343778,43.836938623921014
15,0.8948333333333327,0.6548746031745979,0.7411062715062701,43.94390181894414
16,0.9195793650793653,0.6662611111111076,0.7538052910052893,44.1307600219734
17,0.899188888888889,0.6503857142857103,0.7361406149406114,44.05734062800184
18,0.9053476190476193,0.6897428571428509,0.7638854589854581,43.92517552396748
19,0.9098931216931226,0.6822777777777719,0.7590702704702661,43.90917849901598
20,0.9272206349206346,0.662751058201051,0.7592259771818541,44.11757537804078
21,0.9217222222222223,0.6662523809523749,0.7589832315832291,43.650520888972096
22,0.9143063492063505,0.6905285714285653,0.770933000332993,43.76140034198761
23,0.9037238095238075,0.709209523809519,0.7680098938098877,43.993865095078945
24,0.9449079365079364,0.681291269841263,0.7786458097458075,43.917839456000365
25,0.9070769841269851,0.6889777777777729,0.7645008399008405,43.96320390095934
26,0.9549666666666677,0.695693650793644,0.7936293817293745,43.69568168697879
27,0.8746523809523805,0.6806555555555481,0.7406412698412632,43.69983979698736
28,0.8985841269841272,0.6758753968253903,0.7508981980981936,44.11883018305525
29,0.8708071428571437,0.6503873015872951,0.7286918081918017,43.934471533983015
30,0.7988211640211642,0.6627603174603113,0.7036146134509866,44.283756988006644
