V1,V2,label
2.487303609,1.816473076,0
1.841548474,1.678109413,0
2.259622289,1.309538391,0
2.523443529,1.77163793,0
2.095711729,1.925188887,0
2.438632381,1.381957787,0
1.903274839,1.884783694,0
2.340130833,1.67003262,0
1.948271538,1.736642475,0
2.012664124,2.174844564,0
1.669814247,2.343417113,0
2.270477216,2.150748302,0
2.270256785,1.794881642,0
1.963132932,1.71926917,0
1.919633576,2.15910664,0
1.792501774,1.880973942,0
1.79384819,1.746438308,0
1.798626161,1.99620062,0
1.664806895,2.070324709,0
2.497940653,2.222613248,0
1.942449334,1.733711311,0
1.775852512,2.50773638,0
2.015242326,1.808901306,0
2.057274645,2.630076541,0
2.036047686,2.185160933,0
2.090051096,1.894325046,0
1.657244541,1.895197183,0
1.93733173,2.175986957,0
2.251695024,2.279330624,0
2.085676198,2.265542349,0
1.773680618,2.375860447,0
2.153878946,1.910572149,0
2.146555444,1.977328486,0
2.339488816,2.455945045,0
2.655672622,1.581051099,0
1.566765858,1.848660241,0
2.048011121,2.262850676,0
2.094690484,1.393339635,0
1.908138796,2.248392393,0
2.069028421,2.228603354,0
1.933301557,1.939772579,0
2.055968417,2.123015494,0
2.059489916,2.035702594,0
1.798801314,2.113269136,0
2.036546381,2.338845172,0
2.359675364,2.055546925,0
1.887414515,1.808380878,0
2.127048306,2.023202021,0
1.896843897,2.013079057,0
1.813999747,2.20940961,0
1.865861431,2.367352311,0
2.121047493,2.178073557,0
1.671526446,2.05081473,0
2.222166935,1.713889819,0
1.920134448,2.009784364,0
1.588064804,2.094547818,0
2.253848194,1.742145218,0
2.105163794,1.606314977,0
1.988391347,1.515268294,0
2.336425312,2.122670161,0
1.992614913,1.767451514,0
2.382126779,2.590130525,0
1.442605441,2.370849209,0
2.488295226,2.101403509,0
1.64021959,2.259003595,0
1.945723909,1.818823812,0
1.630982559,2.165161249,0
2.23784206,1.812940781,0
2.156172901,1.656697583,0
2.24055831,2.01397019,0
1.944029068,1.969476238,0
2.260665847,2.225123492,0
2.158839597,2.041310363,0
2.023346338,2.185514079,0
2.069748368,2.204765422,0
1.906964968,1.269548671,0
2.311647381,2.656093894,0
2.132409333,1.96995343,0
1.959066577,1.964283744,0
2.005222822,1.663394381,0
1.844871663,1.700891952,0
2.074639748,1.911007654,0
2.148563397,1.947589052,0
2.295900556,2.06406017,0
2.657209919,1.431091723,0
1.805924994,2.270446067,0
2.758497712,1.925409567,0
2.013100698,1.932105727,0
2.399437134,1.913807641,0
2.204020952,1.90405952,0
1.618232373,2.094064316,0
2.150955444,2.387967765,0
1.966865892,1.814791381,0
2.168828329,2.072221128,0
2.084199523,1.978066189,0
2.348101571,2.110847815,0
2.571397613,2.33331701,0
2.197714939,1.511768498,0
2.180695784,2.126084661,0
2.243285502,2.313332628,0
-1.512696391,-2.183526924,0
-2.158451526,-2.321890587,0
-1.740377711,-2.690461609,0
-1.476556471,-2.22836207,0
-1.904288271,-2.074811113,0
-1.561367619,-2.618042213,0
-2.096725161,-2.115216306,0
-1.659869167,-2.32996738,0
-2.051728462,-2.263357525,0
-1.987335876,-1.825155436,0
-2.330185753,-1.656582887,0
-1.729522784,-1.849251698,0
-1.729743215,-2.205118358,0
-2.036867068,-2.28073083,0
-2.080366424,-1.84089336,0
-2.207498226,-2.119026058,0
-2.20615181,-2.253561692,0
-2.201373839,-2.00379938,0
-2.335193105,-1.929675291,0
-1.502059347,-1.777386752,0
-2.057550666,-2.266288689,0
-2.224147488,-1.49226362,0
-1.984757674,-2.191098694,0
-1.942725355,-1.369923459,0
-1.963952314,-1.814839067,0
-1.909948904,-2.105674954,0
-2.342755459,-2.104802817,0
-2.06266827,-1.824013043,0
-1.748304976,-1.720669376,0
-1.914323802,-1.734457651,0
-2.226319382,-1.624139553,0
-1.846121054,-2.089427851,0
-1.853444556,-2.022671514,0
-1.660511184,-1.544054955,0
-1.344327378,-2.418948901,0
-2.433234142,-2.151339759,0
-1.951988879,-1.737149324,0
-1.905309516,-2.606660365,0
-2.091861204,-1.751607607,0
-1.930971579,-1.771396646,0
-2.066698443,-2.060227421,0
-1.944031583,-1.876984506,0
-1.940510084,-1.964297406,0
-2.201198686,-1.886730864,0
-1.963453619,-1.661154828,0
-1.640324636,-1.944453075,0
-2.112585485,-2.191619122,0
-1.872951694,-1.976797979,0
-2.103156103,-1.986920943,0
-2.186000253,-1.79059039,0
-2.134138569,-1.632647689,0
-1.878952507,-1.821926443,0
-2.328473554,-1.94918527,0
-1.777833065,-2.286110181,0
-2.079865552,-1.990215636,0
-2.411935196,-1.905452182,0
-1.746151806,-2.257854782,0
-1.894836206,-2.393685023,0
-2.011608653,-2.484731706,0
-1.663574688,-1.877329839,0
