V1,V2,V3,V4,label
-0.093977692,-0.294090035,-0.5698196,-2.270987957,0
-0.127373966,0.433314278,0.60423155,0.337689298,0
0.332564753,0.232219543,-0.7847298,-0.358238826,0
-0.790643006,-0.188043613,-0.525455772,-0.7138789,0
1.042323468,-0.249701767,-1.147417602,-1.881177379,0
0.279463386,0.669425612,0.250043847,-0.561172087,0
0.07511755,-1.040441296,-0.330383796,0.480420702,0
0.20407114,-0.934740146,-0.108217562,-0.191728191,0
0.105003834,1.218506927,0.594740048,-2.535878187,0
0.057138814,0.852411341,0.55861846,0.61763723,0
1.378036854,-0.184770129,-0.608117952,-0.485364042,0
-0.669145427,0.245682901,-0.747372842,1.899325745,0
0.319719446,0.329125903,0.042755573,-0.95082654,0
-1.011981908,-0.108019233,1.250196093,2.032878868,0
0.695203544,-0.820457414,-0.477184047,-0.79279274,0
0.817651872,0.550502049,-0.829134288,-1.62742955,0
0.705462608,-0.501184804,-1.11702639,-2.862908027,0
0.036850665,-0.305402112,-0.513570589,-1.151975324,0
0.605839443,-0.856265917,-0.141125211,-0.275753808,0
2.280625568,-0.189979473,-1.20940458,-2.843159232,0
-1.378901488,-0.289688099,1.415559155,3.808384762,0
-0.889937908,0.477710375,1.412692126,-1.035097657,0
1.131153605,-0.058339602,-2.029613808,-2.877790765,0
1.215737041,-0.165052913,-1.444460111,-1.029310925,0
-0.271994523,-1.284878391,0.787672202,1.75122686,0
1.090898142,-0.261753172,-1.587920047,-4.160535908,0
-1.126327947,0.638713137,0.494854749,2.791399601,0
0.075022767,-0.177726146,0.19892077,-0.079327848,0
0.397676718,-0.390891056,-0.259836464,-0.147817729,0
-0.71250807,0.521580755,1.434665541,2.020891238,0
0.878724931,-1.148627248,-0.549232001,-0.106723708,0
0.446092239,-0.1098727,0.752510571,1.778090866,0
-1.305536507,-0.314292867,1.953726259,1.505350506,0
0.596408879,0.299914388,-0.411950487,0.542278879,0
0.143725335,0.171435793,-0.738889684,1.233051111,0
-0.070718384,-0.370162128,0.905168526,3.23418424,0
2.149647081,0.8326896,-1.649931095,-3.336079471,0
0.064070332,-0.55172984,-0.085115557,0.809463689,0
0.595958622,-0.001552237,-0.441765431,1.008621912,0
-0.051866664,-0.551561661,0.270136237,-0.252534282,0
-0.992457853,-0.148286003,-0.085909499,0.09043669,0
-0.132396581,-0.346100325,0.055581175,-1.529460329,0
-0.23809942,-0.006464793,0.429987624,1.627018479,0
-0.475630552,-0.653746282,-0.215334104,0.618700783,0
0.274864891,0.253555155,0.34427236,-1.459747339,0
0.97361882,-1.026893517,-0.815670898,0.321113251,0
0.91013205,-0.344367855,-1.858164051,-3.281450388,0
-0.546105563,0.273125621,-0.168267129,-0.27870515,0
-0.078775536,-0.024112069,-0.060171186,0.670041496,0
-0.828571784,0.765261181,1.475942267,2.451393876,0
-1.248967189,-0.231114999,1.39302302,0.788693296,0
0.498491052,0.930269577,-0.829193763,-0.364900347,0
-0.195623082,-0.759806809,-0.495889763,-0.811020335,0
0.221437004,-1.501515362,-0.305197683,2.192884552,0
0.17005581,1.481449178,-0.691156704,-0.796443414,0
1.505159812,0.400005989,-0.92216884,-3.034490415,0
-0.255302003,-0.239857958,0.662554675,2.204744626,0
-0.468196698,0.010300053,0.836759094,1.454442451,0
0.71896076,-0.760228596,-1.062359089,-2.351685825,0
-0.591196275,-1.520896327,0.85644361,-0.71556959,0
0.444869641,0.413689445,-0.576079306,-3.109086048,0
-0.451724007,-0.93769753,0.65292387,0.935557565,0
0.395556175,0.045014969,-0.40719434,-0.409157013,0
1.145700328,-1.007419647,0.202921083,0.044932541,0
0.412210672,0.77092651,-0.475529834,-1.322422937,0
1.092714373,0.09515831,-1.583040444,-1.418740842,0
0.1799682,0.565230196,1.210560527,0.229479877,0
0.208608009,-1.081914943,-0.646270943,1.216628387,0
0.52785689,0.84343426,-0.245387515,-1.771961098,0
0.652019988,0.221993457,-0.487939666,-2.031573622,0
0.013534047,-0.651672168,-1.372715584,-0.398645632,0
-0.557102686,-0.618003904,-0.357049014,1.744982416,0
0.061750032,1.133609996,0.015492128,-4.452690414,0
0.535516953,0.307707063,-1.147561274,-3.188315686,0
0.007198659,-0.085592229,-0.120320435,0.507364001,0
1.711619046,-1.148878465,-1.504303126,-4.150550665,0
-0.922957954,0.245556274,1.578383699,1.845492241,0
-0.110072827,-0.218727104,-0.0418876,0.969384735,0
1.211439181,0.276969768,-0.815489903,-1.143911321,0
0.449599316,0.456550223,-0.752544031,-1.448314634,0
