V1,V2,V3,label
-2.075551176,2.881150838,1.579152354,0
1.90676415,-2.564360326,-1.216773806,0
0.541009394,3.345197555,-0.537501099,0
-2.879793325,3.503512943,1.280741033,0
-1.10619066,0.88066785,0.636106457,0
3.157281157,-2.899610277,-1.550506694,0
-4.639420575,3.590356144,2.21024813,0
-0.82001199,-0.911798548,0.33331988,0
2.420266602,-2.114124742,-1.382557968,0
-1.657068303,1.814299381,1.172240811,0
-1.297921177,2.041783701,0.826860887,0
-0.181068322,1.141940498,0.16713565,0
2.851297194,-2.770216955,-1.693416841,0
-1.221477901,-1.448671371,0.894238607,0
-0.848822128,-0.465555416,0.790354153,0
-0.830409808,3.439289842,-0.048157181,0
4.21738367,-1.859295452,-2.275626753,0
4.180783432,-2.734316709,-2.454126816,0
1.919589631,-2.85508515,-1.217249593,0
0.738326308,-0.588771354,-1.081721572,0
1.40973017,-3.293603434,-1.130280657,0
2.850039972,-3.24524245,-1.165014331,0
-1.789163902,1.020624643,0.857823483,0
2.247996095,-2.433076206,-1.572592997,0
-2.39721825,3.575591608,1.21976907,0
-1.219278341,-1.454986343,0.563797845,0
1.734239299,-2.884635213,-0.93028888,0
-2.731407809,-0.160660662,2.041337065,0
-0.267788874,-1.910182354,0.049709429,0
-1.647536816,1.540939135,0.986592329,0
-0.48870314,-2.355992972,0.042154868,0
-5.350452439,5.607339228,3.462557602,0
-3.386886486,2.305496093,2.015130632,0
-1.338052753,1.1965589,0.478679149,0
1.773159061,-0.874784289,-0.793981456,0
-0.33196351,-0.478440537,0.532012266,0
0.005440934,1.769604455,-0.003739932,0
1.315771178,-1.394327125,-1.19075024,0
-1.681532084,2.375907548,1.423869946,0
0.542249844,-0.779123378,-0.22112789,0
-1.539731303,1.740680906,1.190000037,0
-3.303026315,3.142497713,1.745781311,0
-0.747337561,1.031790959,0.313528982,0
1.097024558,-2.558157188,-0.56177851,0
0.64732783,0.227217878,-0.093196178,0
-0.022618003,-0.529798203,0.064992116,0
4.573817767,-2.60285244,-3.002749487,0
0.789421666,-4.334591683,-0.293526806,0
1.871185892,-4.025370632,-0.579848392,0
4.278970236,-2.824055851,-2.4663451,0
-2.474083087,5.194772399,1.382759187,0
-1.985996052,3.035344571,0.771375735,0
3.333697437,-3.859280365,-2.270682985,0
-1.525767645,-1.677604498,0.781077877,0
0.056749564,1.230335283,-0.151962921,0
2.044360219,-1.78605435,-1.148038518,0
1.702887421,-0.357458569,-0.962993794,0
3.355060246,-2.505816995,-1.510553458,0
2.859431135,-2.253550291,-1.635119818,0
2.044506858,3.435745123,-1.019710935,0
-1.477294833,1.180053979,0.841958874,0
1.51964963,-1.498333558,-0.481082754,0
0.600837528,-0.692900072,-0.843397402,0
-2.535606335,1.040881253,1.326945267,0
2.709647917,-0.482538652,-1.341518256,0
1.543306474,-1.851601495,-0.921332874,0
0.086969721,1.022575225,0.172755149,0
-0.445634546,0.848147459,0.348314315,0
-2.290959137,3.940778605,1.523627254,0
0.381457951,0.414519713,-0.073417766,0
0.895580285,-2.806586545,-0.28425338,0
-1.589034705,-0.998509047,1.373670607,0
2.221947294,0.629117212,-1.077035043,0
-2.097675827,0.644689143,1.502748629,0
-4.059026538,1.002226866,2.403323613,0
1.98779104,-2.752534693,-1.274413168,0
-0.771171016,2.794362795,0.214082307,0
-0.240948305,-2.246000431,0.400953995,0
-1.601197326,-0.198355324,0.306212357,0
-3.070342607,1.328763206,1.448858842,0
2.399812056,-4.083838107,-1.589717603,0
-1.317006747,-0.973485016,0.743720699,0
3.175474125,-5.167576499,-2.473515981,0
1.543443461,-2.036301621,-0.532999953,0
-0.601766973,-0.124820392,0.523323793,0
-2.07607081,0.500428232,1.759311095,0
-1.40034956,-1.712781665,1.163280281,0
-2.318149289,4.021711525,1.560528865,0
3.990225198,-5.499416672,-1.641421797,0
0.314385195,0.224342523,-0.346421438,0
2.199008078,-3.618877958,-1.626349737,0
-2.422973365,3.101021666,1.30702426,0
0.346110063,1.363357038,-0.46173501,0
2.251882662,-3.32274581,-1.330699603,0
-0.640486717,-2.789113098,0.169509386,0
1.971325073,-0.393246704,-1.014466364,0
-2.073519481,4.894066951,1.254068464,0
-2.606738388,2.815070716,1.478917552,0
0.725352974,-0.308734139,-0.341671244,0
-0.724924383,1.992732484,0.345209702,0
1.227505343,0.325229282,-0.538883785,0
-3.781403739,1.623166715,2.235455045,0
1.361735472,-2.229997181,-0.828776047,0
4.967539379,-2.953433601,-2.642315177,0
-0.047080917,-0.209497722,0.371643298,0
0.065274261,2.209563729,0.265244762,0
0.343269748,-1.486838032,-0.433815256,0
-3.559798209,4.15860988,1.878288968,0
0.814723863,-0.067890106,-0.941207901,0
-3.069285328,2.256365748,1.712031177,0
-0.817654633,2.679397227,0.533344597,0
2.376166762,-0.74652067,-1.435386463,0
-1.405616619,-0.593898574,1.371824734,0
0.958307482,0.327690701,-0.689000518,0
1.936194253,0.802061849,-1.46760745,0
0.532907704,-0.653610642,-0.149320567,0
-2.621033067,1.68511537,1.562892024,0
-0.635639274,-0.63830004,0.542695154,0
3.746079471,-3.042426823,-2.079012529,0
-3.871561932,4.299200672,2.269727917,0
-0.52725852,-0.979974093,-0.230575858,0
-1.05554187,-1.462603287,0.471366808,0
0.230849546,-0.831654266,-0.275609994,0
1.430467969,-3.523467964,-0.859913934,0
3.075558501,-1.579679157,-1.916884425,0
-0.516640888,-0.316758301,0.426989491,0
1.553066023,-4.267754322,-0.66002349,0
0.955422814,-1.368969157,-0.840039636,0
0.906875773,-1.061820202,-0.330670706,0
-1.078131895,1.640588971,0.760062572,0
-1.906718309,1.286907559,1.231166481,0
-2.103105577,4.905756492,0.753266139,0
-1.446186332,0.274287001,0.974610585,0
0.615013015,-0.602865485,-0.329981198,0
1.454812902,-1.349286964,-0.577041628,0
0.618420433,-0.984006834,0.134109159,0
-1.049513888,1.090540996,1.025580454,0
3.452724504,-1.852696651,-1.984678232,0
2.903826884,-0.037726595,-1.732741076,0
-0.676791303,-2.150827807,0.626799654,0
-1.574268465,0.391877073,0.630677682,0
0.248950058,-0.969988056,-0.513874163,0
2.422871265,-0.341249744,-1.564468225,0
0.636193138,-1.125535418,-0.024292423,0
1.064031647,-4.113787032,-0.622067196,0
-0.405463098,0.477509191,0.633412872,0
0.872316597,-0.760904575,-1.250026569,0
2.952920674,-2.070981529,-2.137133968,0
-0.458208179,-1.417909854,0.275403945,0
0.273981345,2.732808764,0.007155548,0
0.485256297,-0.947529852,-0.284849352,0
0.542437266,-0.760691371,-0.330590314,0
-2.699304541,0.629052796,1.562853454,0
-3.588271125,1.292239307,1.636595845,0
-1.949416565,-0.529805958,1.487424629,0
0.321078669,-0.934544938,-0.351723275,0
1.058883946,-2.498680426,-0.277740363,0
-1.014564442,4.351049049,0.478879415,0
2.633094885,-5.366848722,-1.152031258,0
-0.273729444,-1.718073786,0.298039488,0
0.038840922,-0.721006383,-0.033955353,0
-0.370827737,1.456040209,0.245995055,0
0.25623768,-0.917418099,-0.525508595,0
1.346841171,0.075978304,-0.804136313,0
1.272622356,-2.721146038,-0.231672862,0
-1.717640223,1.486159371,1.339452955,0
2.913000181,0.648927498,-2.019058462,0
-2.093514539,0.024449932,1.384631573,0
0.151469314,0.59882153,-0.038686333,0
-0.524602134,0.778328513,0.513140287,0
-2.00550344,-2.25226785,1.278040919,0
-0.143618487,-0.896213882,0.04524964,0
-1.416316834,3.084969124,1.126035366,0
0.139386928,0.119753027,-0.028087333,0
0.770635554,-2.703973491,-0.056083773,0
2.814092311,-1.081060664,-1.391355992,0
0.587669208,-1.296837382,-0.405720868,0
-1.168564584,1.560406621,0.61401017,0
-0.748714117,1.251024032,0.933787813,0
0.267615635,-2.137801811,-0.055403459,0
0.17868208,1.213065301,-0.340273197,0
2.790500022,-3.9800139,-1.88901886,0
2.66769047,-4.393533496,-1.222015679,0
-0.686227785,-0.963815061,0.476464163,0
-1.048915544,0.250699386,0.407279157,0
-4.888677304,4.127873787,2.996658825,0
-1.04944758,-0.481666194,0.681168997,0
-1.869889091,2.786723371,0.601443898,0
-0.678367319,0.978773618,0.538631461,0
0.748646116,-1.79714208,-0.044556514,0
0.338763246,1.254435602,0.453705805,0
-0.057294012,2.041102871,-0.006981303,0
0.38156891,-0.477073688,-0.15349457,0
-0.241116906,-0.175058542,0.579394958,0
0.376668524,-3.351230313,-0.09655212,0
-6.177257717,4.278214788,3.654894279,0
-0.514845858,-0.085935683,0.140184713,0
-0.211928757,0.592405136,-0.262373909,0
-0.652437537,0.236427148,0.628487411,0
-0.416678214,0.755093711,-0.11177697,0
-3.16E-15,-15.46364992,-2.032317194,1
-7.647356919,-5.740739881,2.847287478,1
9.559196148,-22.58388329,-7.470305612,1
